English,Japanese,Chapter
lumber,ひき材,12
luminary,発光体,12
luminous,光を発する,12
lunar,月の,12
lunatic,精神異常者,12
lung,肺,12
luster,光沢,12
luxuriant,繁茂した,12
luxury,ぜいたく,12
lynx,オオヤマネコ,12
mackerel,サバ,12
magnet,磁石,12
magnificent,壮大な,12
magnify,拡大する,12
magnitude,大きいこと,12
main,主な,12
maintain,持続する,12
major,大きいほうの,12
majority,大多数,12
make a decision,断を下す,12
make of,する,12
make out,作成する,12
malaise,何となく気分がすぐれないこと,12
male,男性,12
malice,悪意,12
malicious,悪意[敵意]のある,12
malign,有害な,12
malignancy,強い悪意,12
mall,屋根続きで冷暖房付きの大ショッピングセンター,12
mammal,哺乳(ほにゆう)動物,12
mammoth,マンモス,12
manage,経営する,12
manager,支配人,12
mandate,権限,12
mandatory,義務的な,12
maneuver,巧妙な処置,12
maniacal,狂気の,12
manifest,明白な,12
manifesto,宣言(書),12
manifold,多数の,12
manipulate,巧みに扱う,12
manner,マナー,12
mannerism,独特の[きざな]癖,12
mantelpiece,マントルピース,12
manual,手の,12
manufacture,製造[製作]する,12
maple,カエデ,12
mar,ひどく傷つける,12
margin,余白,12
marital,結婚の,12
maritime,海の,12
mark,跡,12
Mars,火星,12
marsh,沼地,13
marshal,元帥,13
martyr,殉教者,13
marvelous,すばらしい,13
massacre,大虐殺,13
massive,大きくて重い,13
masterpiece,名作,13
materialism,物質主義,13
maternal,母の,13
mathematics,数学,13
matrix,母体,13
matter,問題,13
mature,完全[十分]に発達した,13
mauve,ふじ色,13
maverick,焼き印のない牛,13
maxim,格言,13
mayonnaise,マヨネーズ,13
meadow,牧草地,13
meager,貧弱な,13
mean,意味を表わす,13
means,方法,13
meanwhile,その間に,13
measles,はしか,13
mechanic,修理工、機械工,13
mediate,調停[仲裁]する,13
medical,医学の,13
medicine,医学,13
medieval,中世の,13
mediocre,並の,13
meditation,瞑想,13
meek,じっと我慢する,13
meeting,会,13
melancholy,憂うつ,13
melon,メロン,13
memorialize,記念式を行なう,13
memory,記憶,13
menace,脅迫,13
mend,直す,13
mental,心の,13
mentor,良き指導[助言]者,13
menu,献立表,13
mercantile,商業の,13
merchant,商人,13
mercurial,変わりやすい,13
mercury,水銀,13
mercy,慈悲,13
merger,合併,13
merit,価値,13
merry,陽気な,13
message,通信,13
meteor,流星,13
meteorology,気象学,13
methodical,方法によった,13
meticulous,細かいことによく気を配る,13
metropolis,首都,13
microscope,顕微鏡,13
might,力,13
migrate,移住する,13
mild,温厚な,13
million,100 万,13
mind,心,13
mineralogy,鉱物学,13
minor,小さいほうの,13
mirage,蜃気楼(しんきろう),13
mirror,鏡,13
miscellaneous,種々雑多な(ものから成る),13
misconstrue,解釈を誤る,13
miserable,みすぼらしい,13
miserly,しみったれた,13
miss,〜し損なう,13
missing,ある[いる]べき所にない[いない],13
mist,かすみ,13
mistake,間違い,13
mitigate,やわらげる,13
moat,堀,13
mob,暴徒,13
mobile,可動性の,13
mock,あざ笑う,13
mode,方法,13
model,模型,13
modern,現代的な,13
modest,謙遜(けんそん)な,13
mole,モグラ,13
molecule,分子,13
molten,溶ける,13
moment,瞬間,13
momentous,重大な,13
momentum,運動量,13
monarchy,君主国,13
monetary,貨幣の,13
monkey,サル,13
monopoly,独占権,13
monotonous,単調な,13
monstrosity,巨大[奇怪]なもの,13
monumental,記念碑の,13
moratorium,停止,13
more or less,多少,13
morning glory,アサガオ,13
morose,気難しい,13
moss,コケ,13
motif,主題,13
motor,モーター,13
move over,席などを詰める,13
mud,泥,13
muddle,ごたまぜにする,13
multilingual,多数の国語を用いた,13
mundane,平凡な,13
municipal,都市の,13
muscle,筋(肉),13
muse,熟考する,13
museum,博物館,13
musician,音楽家,13
mustache,口ひげ,13
mute,無言の,13
mutter,つぶやく,13
mutual,相互の,13
myopic,近視(性)の,13
myriad,無数,13
mystical,神秘主義(的)な,13
nadir,天底,13
nail,つめ,13
narcotic,麻(酔)薬,13
narrowly,かろうじて,13
natal,出生[出産，分娩(ぶんべん)]の,13
national,国民の,13
nationality,国籍,13
native,出生地の,13
natural science,自然科学,13
nature,自然,13
naughty,いたずら(好き)な,13
nausea,吐き気,13
nauseate,吐き気を催させる,13
nautical,航海(術)の,13
navel,へそ,13
navy,海軍,13
nearby,近くに,13
nearly,ほとんど,13
neat,きちんとした,13
needle,針,13
needs,ぜひとも…ねばならない,13
negation,否定,13
negative,負の,13
neglect,無視する,13
negligence,怠慢,13
negotiate,取り決める,13
neighbor,隣人,13
neighboring,隣の,13
nephew,甥,13
Neptune,海王星,13
nerve,神経,13
nest,巣,13
neurosis,神経症,13
neutral,中立の,13
next to,接して,13
nightmare,悪夢,13
nighttime,夜間,13
no less than,に劣らず,13
No way!,少しも…しない,13
nocturnal,夜(間)の,13
nominal,名ばかりの,13
nominate,指名する,13
nostalgia,過去を懐かしむ心,13
notch,V 字形の刻み目,13
notice,通知,13
notoriety,評判,13
notorious,有名な,13
nourish,養う,13
nourishment,滋養物,13
novel,新しい、小説,13
novelty,珍しさ,13
now that,今や･･･なので,13
noxious,有害[有毒]な,13
nuance,微妙な差違,13
nuclear,原子核[力]の,13
nuisance,やっかい[有害]なもの[行為],13
nuke,核兵器,13
,無効の,13
nullify,無効にする,13
numb,かじかんだ,13
numerous,多数の,13
nurture,養育する,13
nutrition,栄養摂取,13
oak,オーク,13
oath,誓い,13
obedient,従順な,13
obelisk,オベリスク，方尖塔,13
obey,従う,13
obituary,死亡記事,13
object,目的,13
objective,目標,13
oblige,義務を負わせる,13
obliterate,消してしまう,13
oblivion,忘れ(られ)ること,13
obscure,はっきりしない,13
observation,観察,13
observatory,観測所,13
observe,観察する,13
obsess,取りつく,13
obsession,取りつくこと,13
obsolete,すたれた,13
obstinate,がんこな,14
obtain,得る,14
occasionally,ときおり,14
Occident,西洋,14
occupation,職業,14
occupy,占める,14
occur,起こる,14
octopus,タコ,14
odd,変な,14
odor,におい,14
odyssey,長期の放浪,14
offend,攻撃する,14
offer,提供する,14
official,公式の,14
offset,差引勘定する,14
offshore,岸を離れて,14
offspring,子,14
omelet,オムレツ,14
ominous,不吉な,14
on a ... basis,…という基準で,14
on sale,売り物として出て,14
On the way,途中で,14
once,一度,14
once and for all,これを最後に,14
ongoing,前進する,14
onlooker,傍観者,14
opaque,不透明な,14
operate,働く,14
operation,手術,14
opinion,意見,14
opponent,相手,14
opportune,好都合の,14
opportunist,ひより見[便宜]主義者,14
opportunity,機会,14
oppose,反対する,14
opposition,抵抗,14
oppression,圧迫,14
optical,目の,14
optician,眼鏡商,14
optimist,楽天主義者,14
optimistic,楽天主義の,14
opulent,富裕な,14
orbit,軌道,14
orchard,果樹園,14
ordeal,厳しい試練,14
order,命令,14
ordinance,法令,14
ordinary,普通の,14
orient,東洋,14
orientation,適応,14
orifice,開口部,14
origin,起源,14
ornament,装飾,14
ornate,飾りたてた,14
orphan,親のない子,14
oscillate,振動する,14
ostrich,ダチョウ,14
oust,追い出す,14
outcome,結果,14
outcry,抗議,14
outfit,服装ひとそろい,14
outgoing,出て[去って]いく,14
outlet,出口,14
outlook,見解,14
outnumber,より数でまさる,14
outright,腹蔵なく,14
outset,初め,14
outskirts,〔町などの〕はずれ,14
outstanding,目立つ,14
overcast,曇った,14
overcome,打ち勝つ,14
overdue,支払期限の過ぎた,14
overlook,見晴らす,14
overnight,夜通しの,14
overrun,はびこる,14
overtake,追いつく,14
overtime,規定外労働時間,14
overturn,ひっくり返す,14
overwhelm,圧倒する,14
owing to,…のために,14
owl,フクロウ,14
own,自分自身の,14
owner,持ち主,14
oxidize,酸化させる,14
oxygen,酸素,14
oyster,カキ,14
ozone,オゾン,14
Pacific Ocean,太平洋,14
pacifist,平和主義者,14
package,包み,14
package,包み,14
pact,協定,14
paddy field,水田,14
page,ページ,14
pail,手おけ,14
pain,苦痛,14
pal,友人,14
pale,青白い,14
palette,パレット,14
palm,手のひら,14
panel,パネル,14
panorama,全景,14
pants,ズボン,14
parade,行列,14
paradox,逆説,14
paralysis,まひ,14
parameter,媒介変数,14
parasite,寄生生物,14
parcel,小包,14
parity,同等であること,14
parody,風刺[嘲弄(ちようろう)]的もじり詩文,14
parrot,オウム,14
part time,全時間 (full time)の一部,14
partial,一部(分)の,14
particle,(微)分子,14
particular,特定の,14
partisan,徒党の一員,14
pass by,通り過ぎる,14
passage,通行,14
passenger,乗客,14
passive,受動性の,14
past,過ぎ去った,14
paste,糊(のり),14
pastoral,牧羊者の,14
patent,特許(権),14
path,小道,14
pathetic,哀れを誘う,14
pathology,病理学,14
pathos,哀愁,14
patient,患者,14
patronize,保護する,14
peacock,クジャク,14
pear,セイヨウナシ,14
peasant,小作人,14
peculiar,妙な,14
pedagogic,教育学(的，上)の,14
pedestrian,徒歩の,14
pendant,垂れ飾り,14
pending,未決定で,14
penetrate,突き刺さる,14
peninsula,半島,14
pension,年金,14
per capita,一人当たり,14
percent,パーセント,14
perception,知覚,14
perceptive,知覚の,14
perch,止まり木,14
perform,する,14
performance,公演,14
Perfume,香水,14
peril,危険,14
perimeter,周囲の長さ,14
period,期間,14
periodic,周期的な,14
periphery,周囲,14
perish,死ぬ,14
permission,許可,14
permit,許す,14
perpetual,永続する,14
perplex,困らせる,14
perquisite,臨時収入,14
persecute,迫害する,14
perseverance,忍耐,14
persimmon,カキ,14
persistent,しつこい,14
personable,容姿のよい,14
personal,個人の,14
personify,擬人化する,14
personnel,全職員,14
perspective,(…な)考え方,14
persuade,説得する,14
perturb,かき乱す,14
pervasive,広がる,14
pessimism,悲観主義,14
petty,取るに足らない,14
pharmacy,薬局,14
pheasant,キジ科の鳥,14
phenomena,現象,14
philanthropist,博愛主義者,14
philosophy,哲学,14
phobia,恐怖症,14
phonetic,音声(上)の,14
physical,物質(的)の,14
physician,医師,14
physics,物理学,14
physiological,生理学(上)の,14
pick,選ぶ,14
pier,桟橋,14
piety,敬虔,14
pigeon,ハト,14
pile,積み重ね,14
pill,丸薬,14
pillar,柱,14
pillow,まくら,14
pine,思いこがれる,14
pinnacle,小尖塔,14
pit,穴,14
pitcher,水差し,14
pivotal,枢軸の,14
placate,なだめる,14
placebo,偽薬,15
placid,穏やかな,15
plague,疫病,15
plain,明白な,15
plaintiff,原告,15
plan,計画,15
plant,植物,15
plate,皿,15
plateau,高原,15
plausible,もっともらしい,15
playing field,運動場,15
plead,弁論する,15
pleasant,愉快な,15
please,喜ばせる,15
plenary,全員出席の,15
plenitude,十分,15
plethora,過多,15
plight,(通例悪い)状態,15
plod,とぼとぼ歩く,15
pluck,引き抜く,15
plug,栓,15
plunge,突っ込む,15
plural,複数の,15
Pluto,冥王星,15
plutonium,プルトニウム,15
plywood,合板,15
pneumonia,肺炎,15
pod,さや,15
poem,詩,15
poet,詩人,15
poetry,詩,15
poignancy,激しさ,15
poise,釣り合い,15
poison,毒,15
polar bear,シロクマ,15
polarize,分極化させる,15
policy,政策,15
polite,礼儀正しい,15
politic,思慮のある,15
politics,政治,15
politician,政治家,15
polity,政治形態[組織],15
poll,投票,15
pollution,汚染,15
ponder,熟考する,15
popular,人気のある,15
population,人口,15
portent,兆し,15
portrait,肖像(画),15
positive,肯定的な,15
possess,所有する,15
posterity,後世[後代]の人々,15
postscript,追伸,15
postulate,仮定する,15
posture,姿勢,15
potent,効能のある,15
potential,可能性のある,15
poultry,家禽(かきん),15
pound,ポンド 《重量の単位; 記号 lb. (ラテン語 libra から)》,15
pour,注ぐ,15
practicable,実行できる,15
practical,実際的な,15
practice,実行,15
practitioner,開業医,15
pragmatic,実用本位の,15
pragmatist,実用[実践]主義者,15
praise,賞賛する,15
prawn,エビ,15
pray,祈る,15
preamble,前口上,15
precarious,事情次第の,15
precaution,用心,15
precede,先に立つ,15
precinct,地域,15
precious,貴重な,15
precipitate,早める,15
precipitous,切り立ったような,15
precise,正確な,15
preclude,起こらないようにする,15
precursor,先駆者,15
predecessor,前任者,15
predict,予言する,15
predominant,優勢な,15
preeminent,抜群の,15
preface,序文,15
prefer,〜の方を好む,15
pregnant,妊娠した,15
prejudice,偏見,15
prelude,前ぶれ,15
premise,前提,15
prepare,準備する,15
prescribe,処方する,15
prescription,処方箋,15
present,プレゼントする,15
preserve,保護する,15
preside,議長をする,15
president,大統領,15
press,押す,15
prestige,威信,15
presumption,推定,15
pretend,ふりをする,15
pretentious,もったいぶった,15
pretext,口実,15
pretty,きれいな,15
prevail,優勢である,15
prevalent,一般に行なわれる,15
prevent,防げる,15
previous,前の,15
prey,えじき,15
price,価格,15
priest,聖職者,15
primary,第一の,15
primitive,原始の,15
principle,主義,15
prior,前の,15
prison,刑務所,15
privilege,特権,15
prize,賞,15
probability,ありそうなこと,15
probably,恐らく,15
problematic,問題の,15
proceed,続行する,15
process,過程,15
procession,行列,15
proclamation,宣言,15
procure,獲得する,15
prodigal,浪費する,15
prodigious,巨大な,15
produce,産する,15
profit,利益,15
profound,心からの,15
profusely,豊富に,15
profusion,豊富,15
program,プログラム,15
progress,進展,15
prohibit,禁じる,15
projection,投射,15
proliferation,激増,15
prolific,多産の,15
prominent,卓越した,15
promise,約束,15
promote,昇進させる,15
prompt,迅速な,15
promulgate,発布[公布]する,15
prone,傾向があって,15
pronounce,発音する,15
pronunciation,発音,15
proof,証明,15
propensity,傾向,15
proper,適正な,15
property,財産,15
proposal,申し入れ,15
proposition,提案,15
proprietor,持ち主,15
propriety,作法,15
prose,散文,15
prosecution,起訴,15
prospect,予想,15
prosperity,繁栄,15
protect,保護する,15
protein,たんぱく質,15
protest,抗議する,15
protocol,儀礼,15
prototype,原型,15
protract,長引かせる,15
protrude,突き[はみ]出る,15
proud,誇らしげな,15
prove,証明する,15
proverb,ことわざ,15
provide,提供する,15
provincial,地方の,15
provisional,仮の,15
provoke,怒らせる,15
proximity,近接,15
proxy,代理(権),15
prudent,用心深い,15
prune,おろす,15
psychiatrist,精神病医,15
psychology,心理学,15
public,公衆の,15
publish,出版する,15
pudding,プディング,15
pump,ポンプ,15
pumpkin,カボチャ,15
punctual,時間に正確な,15
punish,罰する,15
punishment,処罰,15
punitive,罰の,15
purchase,購入する,15
purport,趣旨,15
purpose,目的,15
purse,財布,15
pursue,追い求める,15
put into practice,実行に移す,15
puzzle,難問,15
quack,ガーガー鳴く,15
qualification,資格,15
qualified,資格のある,15
quality,品質,15
quantity,数量,15
quarantine,隔離する,16
quarrel,口げんか,16
quarter,4 分の 1,16
queer,風変わりな,16
question,質問,16
questionnaire,質問事項,16
queue,列,16
quit,やめる,16
quite,全く,16
quiver,揺れる,16
quiz,クイズ,16
quota,分担分,16
quote,引用する,16
race,競争,16
racket,ラケット,16
radiate,放出する,16
radiation,放熱,16
radical,急進的な,16
radioactive,放射性[能]の,16
radius,半径,16
rage,激怒,16
raid,不意の襲撃,16
rail,横木,16
raise,持ち上げる,16
rally,呼び集める,16
ramification,分枝,16
rampant,激しい,16
ranch,(大)牧(畜)場,16
rancor,深い恨み,16
ransom,身代金,16
rapid,急な,16
rarely,めったに…しない,16
rate,割合,16
ratify,批准する,16
rational,理性のある,16
raw,生(なま)の,16
raze,完全に破壊する,16
reach,届く,16
react,反応する,16
reactionary,反動的な,16
reactor,化学反応器,16
readily,快く,16
ready,用意が整った,16
real,真の,16
realistic,現実主義の,16
realize,確認する,16
realm,領域,16
reap,刈り入れる,16
reason,理由,16
reasonable,道理をわきまえた,16
rebate,払い戻し,16
rebel,反逆者,16
rebellion,反乱,16
rebuff,すげない断わり,16
rebuke,譴責(けんせき)する,16
rebut,反証をあげる,16
recall,思い出す,16
receipt,受領,16
receive,受ける,16
recession,景気後退,16
recipe,調理法,16
recipient,受取人,16
reciprocal,相互の,16
recitation,暗唱,16
reckless,向こう見ずな,16
reclaim,返還を要求する,16
reclaimed land,開拓地,16
recognize,認識する,16
recommend,推薦する,16
reconcile,仲直りさせる,16
recourse,頼ること,16
recover,回復する,16
recreation,レクリエーション，休養,16
rectify,改正[修正，矯正]する,16
recurrent,再発[再現，頻発]する,16
redress,矯正する,16
reduce,減少する,16
redundant,余分[過多]の,16
refer,言及する,16
refine,精製する,16
reflect,反射する,16
reform,改革する,16
refrain,控える,16
refugee,避難者,16
refurbish,磨き直す,16
refuse,断わる,16
refutation,論駁,16
refute,論駁(ろんばく)[論破]する,16
regale,大いに楽しませる,16
regard,みなす,16
regarding,に関して(は),16
regardless of,にかかわらず,16
regime,政体,16
region,地方,16
register,登録する,16
regret,後悔する,16
rehabilitate,社会復帰させる,16
reign,君臨,16
reimburse,費用などを払い戻す,16
reinforce,補強する,16
reiterate,何度も何度も繰り返す,16
reject,拒絶する,16
rejuvenate,若返らせる,16
relative,比較上の,16
relatively,比較的,16
release,釈放する,16
relentless,冷酷[残忍]な,16
relevancy,関連性,16
reliable,頼りになる,16
relics,(歴史的な)遺物,16
religion,宗教,16
relinquish,やめる,16
reluctant,気がすすまない,16
rely,信頼する,16
rely on,に依拠する,16
remain,残る,16
remark,言う,16
remarkable,注目すべき,16
remediable,治療できる,16
remedy,治療,16
remember,思い出す,16
remind,思い出させる,16
reminiscence,回想,16
remit,送る,16
remorse,良心の呵責,16
remote,遠い,16
remove,取り去る,16
render,〈…に〉する,16
renege,破る,16
renewal,更新,16
renounce,放棄する,16
renovate,新たにする,16
repair,修理する,16
repeat,繰り返す,16
repent,後悔する,16
repercussion,反響,16
repertoire,レパートリー,16
replace,取って代わる,16
replenish,再び満たす,16
replete,飽食[堪能(たんのう)]して,16
replica,原作の写し,16
replicate,模写[複製]する,16
reply,答える,16
repository,貯蔵所,16
reprehensible,非難すべき,16
represent,代表する,16
representative,代表する,16
reprimand,叱責,16
reproach,しかる,16
reprove,しかる,16
reptile,爬虫(はちゆう)類の動物,16
repudiate,不正[不当]だと言う,16
repulse,はねつける,16
reputation,名声,16
reputed,と称せられる,16
request,懇願する,16
require,要求する,16
requisite,必要な,16
rescind,無効にする,16
rescue,救う,16
research,研究,16
resemble,似ている,16
resent,腹を立てる,16
reserve,取っておく,16
reservoir,貯水池,16
residue,残余,16
resign,辞職する,16
resignation,辞職,16
resist,抵抗する,16
resolute,決然とした,16
resolve,決意する,16
resonant,反響する,16
resort,行楽地,16
resources,資源,16
respect,尊敬する,16
respective,それぞれの,16
responsible,責任のある,16
responsiveness,応答性,16
rest,休み,16
restless,落ち着かない,16
restore,返す,16
restrain,抑える,16
restrict,制限する,16
result,結果,16
resume,再開する,16
resurgent,生き返る,16
retail,小売り,16
retaliation,返報,16
retiring,内気な,16
retract,引っ込ませる,16
retrieve,取り戻す,16
retrospective,回顧の,16
return,帰る,16
revenue,歳入,16
reverent,うやうやしい,16
review,批評する,16
revolution,革命,16
revolve,回転する,16
reward,報酬,16
rhetoric,修辞学,16
rheumatism,リウマチ,17
rhinoceros,サイ,17
rhythm,リズム,17
ride,乗る,17
ridiculous,ばかげた,17
rife,流行して,17
right,正しい,17
rigid,堅くて曲がらない,17
rigor,厳しさ,17
ring,輪形の飾り,17
riot,暴動,17
ripe,熟した,17
rise,上がる,17
rite,儀式,17
roadside,道ばた,17
roar,ほえる,17
rob,強奪する,17
robust,強健な,17
rock,岩,17
rocket,ロケット,17
rococo,ロココ式,17
role,役割,17
roof,屋根,17
roster,名簿,17
rough,粗い,17
routine,決まりきった仕事,17
row,列,17
rub,手などでこする,17
rubber,ゴム,17
rubble,破片,17
rudimentary,基本の,17
rug,敷物,17
rugged,でこぼこの,17
rumor,うわさ,17
run,走る,17
run into,と衝突する,17
rupture,破裂,17
rustic,いなかの,17
ruthless,無慈悲な,17
sacred,神聖な,17
sacrifice,神にいけにえをささげること,17
safety,安全,17
sag,下がる,17
salad,サラダ,17
salary,給料,17
salient,顕著な,17
saline,塩分を含んだ,17
salmon,サケ,17
salutary,ためになる,17
salute,敬礼する,17
salvage,海難救助,17
salvation,救済,17
sanction,裁可,17
sanctuary,神聖な場所,17
sardine,イワシ,17
satellite,衛星,17
satire,風刺,17
satirical,風刺の,17
satisfy,満たす,17
saturate,浸す,17
Saturn,土星,17
savant,学識豊富な人,17
save,救う,17
savory,キダチハッカ,17
saw,のこぎり,17
scan,つくづく[じろじろ]見る,17
scant,乏しい,17
scapegoat,他人の罪を負わされる人,17
scar,傷跡,17
scarcely,ほとんど…ない,17
scavenger,清掃動物,17
scene,場面,17
scenery,風景,17
scent,におい,17
schedule,予定,17
scholar,学者,17
science,科学,17
scientist,科学者,17
scissors,はさみ,17
scold,しかる,17
scorch,焦がす,17
scorn,軽蔑,17
scorpion,サソリ,17
scourge,むち,17
scrape,こすり落とす,17
scratch,ひっかく,17
scream,叫ぶ,17
scrutinize,細かい所まで徹底的に調べる,17
sculpture,彫刻,17
seaport,海港,17
search,捜す,17
seashore,海岸,17
seaside,海辺,17
seasoning,調味料,17
seclusion,隔離,17
secret,秘密の,17
secretary,秘書,17
Secretary of State,国務長官,17
secure,安全な,17
security,安全,17
seed,種,17
seek,捜す,17
seemingly,うわべは,17
seep,しみ出る,17
segregation,分離,17
seismic,地震の,17
seismology,地震学,17
seize,つかむ,17
seldom,めったに〜ない,17
selfish,利己的な,17
senile,老衰の,17
senior,年上のほうの,17
sensible,分別のある,17
sensitive,敏感な,17
sensuous,感覚的な,17
sentence,文章,17
separate,切り離す,17
serious,重大な,17
serve,仕える,17
service,奉仕,17
setback,離して置く,17
settle,決める,17
severance,断絶,17
sew,縫う,17
sewer,縫う人,17
shabby,着古した,17
shake,振る,17
shake one's head,首を横に振る,17
shallow,浅い,17
shameful,恥ずべき,17
share,分け前,17
shatter,粉みじんに壊す,17
shave,そる,17
shed,流す,17
shelf,棚,17
shell,貝殻,17
sherbet,シャーベット,17
shimmer,ちらちら光る,17
shine,輝く,17
shirt,ワイシャツ,17
shiver,震える,17
shoddy,再生毛糸,17
shopkeeper,小売店主,17
shore,岸,17
shortage,欠乏,17
shortcut,近道,17
shortly,まもなく,17
shout,大声で叫ぶ,17
shovel,スコップ,17
showcase,陳列箱,17
shred,一片,17
shrewd,鋭敏な,17
shrine,聖堂,17
shudder,震える,17
shut,閉める,17
shy,恥ずかしがりの,17
sibling,兄弟,17
siege,包囲攻撃,17
sigh,ため息をつく,17
sight,視力,17
sign,符号,17
significant,重要な,17
silent,沈黙した,17
simulated,似せた,17
simultaneous,同時の,17
since,それ以来,17
singular,並はずれた,17
sink,沈む,17
site,敷地,17
skeptic,懐疑論者,17
skeptical,懐疑的な,17
skill,手腕,17
sled,そり,17
sleep,眠る,17
sleeve,そで,17
slick,なめらかな,17
slight,少しばかりの,17
slim,ほっそりした,17
slip,滑る,17
slipper,室内ばき,17
slope,傾斜,17
slough,ぬかるみ,17
sluggish,動きののろい,17
smash,打ち壊す,17
smell,においがする,17
smother,窒息死させる,17
smuggle,密輸入[輸出]する,17
snail,カタツムリ,17
snake,ヘビ,17
snarl,うなる,17
snicker,いななく,17
So am I,私もそうです,17
so far,ここ[これ]まで,17
soak,浸す,17
soaked,びしょぬれで,17
soap opera,メロドラマ,17
sober,しらふの,17
so-called,いわゆる,17
sociable,社交的な,17
social science,社会科学,17
societal,社会の,18
society,社会,18
sociology,社会学,18
software,ソフトウェア,18
soil,土,18
solar,太陽の,18
solar system,太陽系,18
soldier,陸軍軍人,18
solemn,まじめな,18
solicit,懇請する,18
solid,固体の,18
solitary,ひとりの,18
solution,解決,18
solution to,解決,18
solve,解く,18
solvent,支払い能力がある,18
somber,薄暗い,18
someday,いつか,18
somewhat,やや,18
son-in-law,(娘の親からみて)娘の夫,18
soothe,なだめる,18
sophisticated,洗練された,18
sophistication,(高度の)知的素養,18
sore,痛い,18
sorrow,悲しみ,18
sort,種類,18
sound,音,18
southern,南の,18
sovereign,主権者,18
soybean,ダイズ,18
spa,鉱泉,18
span,期間,18
sparrow,スズメ,18
spawn,卵,18
spear,槍,18
species,分類学上の種,18
specimen,見本,18
spectacle,光景,18
spectacular,見せ物(的)の,18
spectator,見物人,18
spectrum,スペクトル,18
speculate,思索する,18
spendthrift,金づかいの荒い人,18
sphere,球,18
spider,クモ,18
spill,こぼす,18
spinach,ほうれん草,18
spine,脊柱,18
spiral,渦巻の,18
spirit,心,18
split,割る,18
spoil,役に立たなくする,18
spontaneous,自発的な,18
sporadic,時々起こる,18
spouse,配偶者,18
sprain,捻挫(ねんざ)する,18
spread,開く,18
sprinkle,振りかける,18
sprout,芽,18
spur,拍車,18
squander,浪費する,18
square,正方形,18
squeeze,圧搾(あつさく)する,18
squirrel,リス,18
stab,刺す,18
stable,安定した,18
stadium,競技場,18
stage,舞台,18
stagger,よろめく,18
stagnant,流れない,18
stair,階段,18
stake,くい,18
stalk,茎,18
stall,馬屋,18
stamina,持久力,18
stammer,どもる,18
stand back,引っ込む,18
stand on one's own two fee,独り立ちする,18
standard,標準,18
standpoint,立場,18
standstill,停止,18
staple,主要産物,18
stapler,主要産物商,18
starch,でんぷん,18
stare,じっと見る,18
startle,びっくりさせる,18
starve,飢え死にする,18
static,静的な,18
statistics,統計,18
statue,彫像,18
statute,制定法,18
statutory,法定の,18
steadfast,固定した,18
steadily,着実に,18
steal,盗む,18
steam,蒸気,18
steel,鉄,18
steep,急勾配(こうばい)の,18
steer,操舵(だ)する,18
stem,茎,18
stem from,（～に）由来する,18
stereotype,ステロ(版),18
sterilize,不妊にする,18
stern,厳格な,18
stiff,硬い,18
stigma,汚名,18
stimulant,興奮剤,18
sting,刺す,18
stingy,けちくさい,18
stink,悪臭を放つ,18
stipend,俸給,18
stipulate,規定する,18
stir,かき回す,18
stock,在庫品,18
stockpile,備蓄品,18
stoic,禁欲の,18
stoke,火をたく,18
stomach,胃,18
stoop,かがむ,18
store,店,18
storm,あらし,18
stove,おけ板,18
strain,張る,18
strait,海峡,18
strategy,戦略,18
stray,離れる,18
stream,流れ,18
streetcar,市街電車,18
strenuous,奮闘的な,18
stretcher,担架,18
strict,厳しい,18
strictly,厳しく,18
strife,争い,18
stringent,厳重な,18
strive,努力する,18
stroll,ぶらつく,18
structure,機構,18
stubborn,がんこな,18
stud,びょう,18
stumble,つまずく,18
stupefy,無感覚にする,18
subdue,征服する,18
subject,学科,18
sublime,荘厳な,18
subliminal,意識にのぼらない,18
submerge,水中に入れる,18
submissive,服従する,18
submit,提出する,18
subordinate,下(位)の,18
subscribe,購読する,18
subsequent,その次の,18
subsidiary,補助(的)の,18
subsidize,助成[補助，奨励]金を支給する,18
subsistence,生存,18
substantial,重要な,18
substantive,独立の,18
substitute,代わりに用いる,18
subtle,微妙な,18
subtract,減じる,18
succeed,成功する,18
successive,連続する,18
successor,後任,18
succinct,簡潔な,18
suddenly,にわかに,18
sue,告訴する,18
suffer,こうむる,18
sufficient,十分な,18
suffocate,息を止める,18
suggest,提案する,18
suicide,自殺,18
suit,スーツ,18
sulfur,硫黄,18
sum,合計,18
summarize,要約する,18
summation,合計すること,18
summit,頂,18
summon,召喚する,18
sundry,種々様々の,18
superb,すばらしい,18
superficial,表面の,18
superfluous,余分の,18
superstition,迷信,18
supplementary,補う,18
supply,供給,18
support,支える,18
suppose,仮定する,18
suppress,抑圧する,18
supreme,最高位の,18
surcharge,積みすぎ,18
sure,確信して,18
surface,表面,18
surge,波のように押し寄せる,18
surgeon,外科医,18
surpass,上回る,18
surplus,余り,18
surprise,驚き,18
surround,囲っている,18
surveillance,監視,18
survey,見渡す,18
susceptible,感受性の強い,18
suspect,感づく,19
suspicion,容疑,19
sustain,維持する,19
swamp,低湿地,19
swear,誓う,19
sweat,汗,19
sweater,セーター,19
sweet,甘い,19
swell,ふくれる,19
swindle,だまして金を取る,19
swine,豚,19
symmetry,対称,19
sympathize,同情する,19
sympathy,同情,19
symptom,症状,19
synchronous,同時(性)の,19
synonym,同義語,19
synthesis,総合,19
tacit,暗黙の,19
taciturn,無口な,19
tactics,戦術,19
tadpole,おたまじゃくし,19
tail,尾,19
